FID,name,modelobjec,x_coord,y_coord
207,Point 207,LakeHennessey - 3545.5400390625 - HPoint,-122.354633648999993,38.487426708999998
208,Point 208,LakeHennessey - 3772.77001953125 - QPoint,-122.356930747999996,38.486461796800000
209,Point 209,LakeHennessey - 4000 - HPoint,-122.359278110999995,38.485587330000001
210,Point 210,LakeHennessey - 4250 - QPoint,-122.361985626000006,38.484849839900001
211,Point 211,LakeHennessey - 4500 - HPoint,-122.364734988999999,38.484220125900002
212,Point 212,LakeHennessey - 4844 - QPoint,-122.368503101000002,38.483344196799997
213,Point 213,LakeHennessey - 5188 - HPoint,-122.371911943000001,38.481786912600001
214,Point 214,MillikenCreekLower - 0 - HPoint,-122.227854624000003,38.376757082099999
215,Point 215,MillikenCreekLower - 175 - QPoint,-122.228347147999997,38.375229049200001
216,Point 216,MillikenCreekLower - 350 - HPoint,-122.228839663000002,38.373701014399998
217,Point 217,MillikenCreekLower - 675 - QPoint,-122.230378688000002,38.371077825500002
218,Point 218,MillikenCreekLower - 1000 - HPoint,-122.232888915000004,38.368927381100001
219,Point 219,MillikenCreekLower - 1475 - QPoint,-122.238123938000001,38.368985005500001
220,Point 220,MillikenCreekLower - 1950 - HPoint,-122.240856664000006,38.366750776700002
221,Point 221,MillikenCreekLower - 2125 - QPoint,-122.242316834999997,38.365672075399999
222,Point 222,MillikenCreekLower - 2300 - HPoint,-122.243396476000001,38.364345785300003
223,Point 223,MillikenCreekLower - 2987.5 - QPoint,-122.249642997999999,38.361738703100002
224,Point 224,MillikenCreekLower - 3675 - HPoint,-122.256867673000002,38.360198763800000
225,Point 225,MillikenCreekLower - 4087.5 - QPoint,-122.259852144999996,38.357837616200001
226,Point 226,MillikenCreekLower - 4500 - HPoint,-122.260971497000000,38.354687468400002
227,Point 227,MillikenCreekLower - 5250 - QPoint,-122.263669854000000,38.349182805300003
228,Point 228,MillikenCreekLower - 6000 - HPoint,-122.264434496000007,38.342635134299996
229,Point 229,MillikenCreekLower - 6750 - QPoint,-122.270376205999995,38.337821111399997
230,Point 230,MillikenCreekLower - 7500 - HPoint,-122.273522052000004,38.331725668899999
231,Point 231,MillikenCreekLower - 8381.5 - QPoint,-122.274231177000004,38.324167666199997
232,Point 232,MillikenCreekLower - 9263 - HPoint,-122.276262023000001,38.317012936799998
233,Point 233,MillikenReservoir - 0 - HPoint,-122.231326331000005,38.388641837199998
234,Point 234,MillikenReservoir - 250 - QPoint,-122.231319049999996,38.386390408899999
235,Point 235,MillikenReservoir - 500 - HPoint,-122.230353679000004,38.384283253900001
236,Point 236,MillikenReservoir - 650 - QPoint,-122.229797387999994,38.383005504499998
237,Point 237,MillikenReservoir - 800 - HPoint,-122.229250573000002,38.381725049099998
238,Point 238,MillikenReservoir - 975 - QPoint,-122.228717778000004,38.380205892500001
239,Point 239,MillikenReservoir - 1150 - HPoint,-122.228278075000006,38.378669189599997
240,Point 240,MillikenReservoir - 1200 - StructurePoint,-122.228164488000004,38.378227864300001
241,Point 241,MillikenReservoir - 1234 - HPoint,-122.228087242000001,38.377927770600003
242,Point 242,NapaRiver - 0 - HPoint,-122.612294144000003,38.620223512700001
243,Point 243,NapaRiver - 752.5 - QPoint,-122.613386456000001,38.613709536300000
244,Point 244,NapaRiver - 1505 - HPoint,-122.610417736000002,38.607754770800000
245,Point 245,NapaRiver - 2505 - QPoint,-122.601852292000004,38.603521099500000
246,Point 246,NapaRiver - 3505 - HPoint,-122.598197137000000,38.596159960300000
247,Point 247,NapaRiver - 4312.964568387657 - QPoint,-122.597799531999996,38.589811306000001
248,Point 248,NapaRiver - 5120.9291367753131 - HPoint,-122.592593504999996,38.584920559799997
249,Point 249,NapaRiver - 5482.611541043907 - QPoint,-122.589407718999993,38.583221406600003
250,Point 250,NapaRiver - 5844.2939453125 - HPoint,-122.587511554000002,38.581072584099999
251,Point 251,NapaRiver - 7113.64697265625 - QPoint,-122.575437149999999,38.576838463900003
252,Point 252,NapaRiver - 8383 - HPoint,-122.562534821000000,38.572367378899997
253,Point 253,NapaRiver - 8644 - QPoint,-122.559815318000005,38.571552914900003
254,Point 254,NapaRiver - 8905 - HPoint,-122.558039682000000,38.569686275000002
255,Point 255,NapaRiver - 9438 - QPoint,-122.552546805000006,38.567735980000002
256,Point 256,NapaRiver - 9971 - HPoint,-122.548124745999999,38.564691046900002
257,Point 257,NapaRiver - 10834 - QPoint,-122.539064809999999,38.564522911399997
258,Point 258,NapaRiver - 11697 - HPoint,-122.530445075000003,38.563509404700000
259,Point 259,NapaRiver - 12043.89599609375 - QPoint,-122.527188903999999,38.562077736799999
260,Point 260,NapaRiver - 12390.7919921875 - HPoint,-122.524119462000002,38.560295917600001
261,Point 261,NapaRiver - 12512.89599609375 - QPoint,-122.522738899999993,38.560483007199998
262,Point 262,NapaRiver - 12635 - HPoint,-122.521360565999998,38.560663511800001
263,Point 263,NapaRiver - 13174.00244140625 - QPoint,-122.515878569999998,38.559718314000001
264,Point 264,NapaRiver - 13713.0048828125 - HPoint,-122.510685182000003,38.558914538300002
265,Point 265,NapaRiver - 13787.3349609375 - QPoint,-122.510050933000002,38.558466886700003
266,Point 266,NapaRiver - 13861.6650390625 - HPoint,-122.509416693000006,38.558019231599999
267,Point 267,NapaRiver - 14476.56396484375 - QPoint,-122.504804811000000,38.554680554100003
268,Point 268,NapaRiver - 15091.462890625 - HPoint,-122.502932064000007,38.549579164900003
269,Point 269,NapaRiver - 15609.19677734375 - QPoint,-122.498408315999995,38.546614418499999
270,Point 270,NapaRiver - 16126.9306640625 - HPoint,-122.495542596000007,38.542764241599997
271,Point 271,NapaRiver - 16684.83544921875 - QPoint,-122.492190899999997,38.539123836900004
272,Point 272,NapaRiver - 17242.740234375 - HPoint,-122.493304017000000,38.534215293899997
273,Point 273,NapaRiver - 17668.8701171875 - QPoint,-122.492465656999997,38.530469912500003
274,Point 274,NapaRiver - 18095 - HPoint,-122.490501821999999,38.527014193100001
275,Point 275,NapaRiver - 18865 - QPoint,-122.484276385000001,38.523119659800003
276,Point 276,NapaRiver - 19635 - HPoint,-122.475901461000007,38.522035045300001
277,Point 277,NapaRiver - 19749.5 - QPoint,-122.474747671000003,38.521542672300001
278,Point 278,NapaRiver - 19864 - HPoint,-122.473596060999995,38.521048089700002
279,Point 279,NapaRiver - 20833.869140625 - QPoint,-122.464849458000003,38.517025992999997
280,Point 280,NapaRiver - 21803.73828125 - HPoint,-122.458175146000002,38.511386934199997
281,Point 281,NapaRiver - 21860.7470703125 - QPoint,-122.457657170999994,38.511073662900003
282,Point 282,NapaRiver - 21917.755859375 - HPoint,-122.457139200000000,38.510760398300000
283,Point 283,NapaRiver - 22211.3779296875 - QPoint,-122.453964541000005,38.511128638300001
284,Point 284,NapaRiver - 22505 - HPoint,-122.451194991999998,38.509632342899998
285,Point 285,NapaRiver - 23541.6708984375 - QPoint,-122.441140215000004,38.505256815199999
286,Point 286,NapaRiver - 24578.341796875 - HPoint,-122.432535767999994,38.499774039400002
